,quote,author,tags,likes
27,"Death is no more than passing from one room into another. But there's a difference for me, you know. Because in that other room I shall be able to see.",Helen Keller,"blindness, death, faith, inspirational, wisdom",1902
28,"Believe in a love that is being stored up for you like an inheritance, and have faith that in this love there is a strength and a blessing so large that you can travel as far as you wish without having to step outside it.","Rainer Maria Rilke,","faith, love, strength",1839
29,A casual stroll through the lunatic asylum shows that faith does not prove anything.,Friedrich Nietzsche,"belief, delusions, faith, insanity",1778
30,"I know now, Lord, why you utter no answer. You are yourself the answer. Before your face questions die away. What other answer would suffice?",C.S. Lewis,"faith, unfathomable",1785
31,"I am fundamentally an optimist. Whether that comes from nature or nurture, I cannot say. Part of being optimistic is keeping one's head pointed toward the sun, one's feet moving forward. There were many dark moments when my faith in humanity was sorely tested, but I would not and could not give myself up to despair. That way lays defeat and death.","Nelson Mandela,","faith, hope, optimism",1751
32,"To have Faith in Christ means, of course, trying to do all that He says. There would be no sense in saying you trusted a person if you would not take his advice. Thus if you have really handed yourself over to Him, it must follow that you are trying to obey Him. But trying in a new way, a less worried way. Not doing these things in order to be saved, but because He has begun to save you already. Not hoping to get to Heaven as a reward for your actions, but inevitably wanting to act in a certain way because a first faint gleam of Heaven is already inside you.","C.S. Lewis,","benevolence, christianity, faith, obedience",1682
33,Extraordinary claims require extraordinary evidence.,Carl Sagan,"evidence, faith, science, skepticism",1492
34,"Believe something and the Universe is on its way to being changed. Because you've changed, by believing. Once you've changed, other things start to follow. Isn't that the way it works?","Diane Duane,","belief, change, faith, life, magic, universe",1448
35,"Patience Is Not the Ability to Wait:
Patience is not the ability to wait. Patience is to be calm no matter what happens, constantly take action to turn it to positive growth opportunities, and have faith to believe that it will all work out in the end while you are waiting.","Roy T. Bennett,","calm, faith, growth, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, opportunity, optimism, optimistic, patience, positive, positive-affirmation, positive-life, positive-thinking",1345
36,"There's so much to be grateful for, words are poor things.","Marilynne Robinson,","faith, inspirational",1331
37,To love means loving the unlovable. To forgive means pardoning the unpardonable. Faith means believing the unbelievable. Hope means hoping when everything seems hopeless.,G.K. Chesterton,"faith, forgiveness, hope, inspirational, love",1296
38,"In this hour, I do not believe that any darkness will endure.","J.R.R. Tolkien,","cheerfulness, faith, faramir, optimism",1263
39,Doubt everything. Find your own light.,"Gautama Buddha,","beliefs, doubt, faith",1247
40,"Over the years, I have come to realize that the greatest trap in our life is not success, popularity, or power, but self-rejection. Success, popularity, and power can indeed present a great temptation, but their seductive quality often comes from the way they are part of the much larger temptation to self-rejection. When we have come to believe in the voices that call us worthless and unlovable, then success, popularity, and power are easily perceived as attractive solutions. The real trap, however, is self-rejection. As soon as someone accuses me or criticizes me, as soon as I am rejected, left alone, or abandoned, I find myself thinking, ""Well, that proves once again that I am a nobody."" ... [My dark side says,] I am no good... I deserve to be pushed aside, forgotten, rejected, and abandoned. Self-rejection is the greatest enemy of the spiritual life because it contradicts the sacred voice that calls us the ""Beloved."" Being the Beloved constitutes the core truth of our existence.",Henri J.M. Nouwen,"beloved, christianity, faith, feelings, identity, rejection, self, spiritual-life, spiritual-warfare, success, temptation, truth",1210
41,"What was love, really? Flowers, chocolate, and poetry? Or was it something else? Was it being able to finish someone's jokes? Was it having absolute faith that someone was there at your back? Was it knowing someone so well that they instantly understood why you did the things you did—and shared those same beliefs?","Richelle Mead,","faith, love",1210
42,"This is what the past is for! Every experience God gives us, every person He puts in our lives is the perfect preparation for the future that only He can see.","Corrie Ten Boom,","faith, inspirtational",1208
43,I dont think that we're meant to understand it all the time. I think that sometimes we just have to have faith.,"Nicholas Sparks,","faith, understand",1171
44,"There comes a time in your life when you have to choose to turn the page, write another book or simply close it.",Shannon L. Alder,"beliefs, books, boyfriend, choices, faith, family, friendships, girlfriend, hang-ups, in-love, life, love, marriage, memories, moving-on, nostalgia, obsessions, peace, relationships, religion, sister-in-laws, sisters, spouse, unrequited-love, wife, writing",1165
45,"Now very much against her will, she thought of the way Jace had looked at her then, the blaze of faith in his eyes, his belief in her. He had always thought she was strong. He had showed it in everything he did, in every look and every touch. Simon had faith in her too, yet when he'd held her, it had been as if she were something fragile, something made of delicate glass. But Jace had held her with all the strength he had, never wondering if she could take it--he'd known she was as strong has he was.","Cassandra Clare,","clary-fray, faith, jace-wayland, love, strength",1085
46,"You can never really know someone completely. That’s why it’s the most terrifying thing in the world, really—taking someone on faith, hoping they’ll take you on faith too. It’s such a precarious balance, It’s a wonder we do it at all. And yet..",Libba Bray,"faith, people",1084
47,"To have faith is to trust yourself to the water. When you swim you don't grab hold of the water, because if you do you will sink and drown. Instead you relax, and float.",Alan Wilson Watts,"faith, freedom, trust",1021
48,"You do not need to know precisely what is happening, or exactly where it is all going. What you need is to recognize the possibilities and challenges offered by the present moment, and to embrace them with courage, faith and hope.",Thomas Merton,"courage, faith, hope, possibility",1010
49,belief is the death of intelligence.,"Robert Anton Wilson,","atheism, belief, faith, intelligence, metaphysics, philosophy, religion",979
50,I have been driven many times upon my knees by the overwhelming conviction that I had no where else to go. My own wisdom and that of all about me seemed insufficient for that day.,Abraham Lincoln,"faith, humility, prayer, surrender",964
51,Follow your bliss and the universe will open doors for you where there were only walls.,Joseph Campbell,"action, belief, faith, follow-your-bliss, life",947
52,"Your children are the greatest gift God will give to you, and their souls the heaviest responsibility He will place in your hands. Take time with them, teach them to have faith in God. Be a person in whom they can have faith. When you are old, nothing else you've done will have mattered as much.",Lisa Wingate,"children, faith, family, parenting",920
53,"Are you upset little friend? Have you been lying awake worrying? Well, don't worry...I'm here. The flood waters will recede, the famine will end, the sun will shine tomorrow, and I will always be here to take care of you.",Charles M. Schulz,"faith, friendship, loneliness, love",896
54,"According to Vedanta, there are only two symptoms of enlightenment, just two indications that a transformation is taking place within you toward a higher consciousness. The first symptom is that you stop worrying. Things don't bother you anymore. You become light-hearted and full of joy. The second symptom is that you encounter more and more meaningful coincidences in your life, more and more synchronicities. And this accelerates to the point where you actually experience the miraculous. (quoted by Carol Lynn Pearson in Consider the Butterfly)","Deepak Chopra,","enlightenment, faith, joy, miracles, synchronicity, trust, worry",892
55,"To be rejected by someone doesn't mean you should also reject yourself or that you should think of yourself as a lesser person. It doesn't mean that nobody will ever love you anymore. Remember that only ONE person has rejected you at the moment, and it only hurt so much because to you, that person's opinion symbolized the opinion of the whole world, of God.","Jocelyn Soriano,","breakup, broken, broken-heart, broken-hearted, broken-hearted-quotes, dating, faith, healing, heartache, heartbreak, heartbroken, hope, hurt, hurt-feelings, hurting, hurting-heart, inspirational, life, life-lessons, love, romance",887
56,"Whether or not you believe in God, you must believe this: when we as a species abandon our trust in a power greater than us, we abandon our sense of accountability. Faiths… all faiths… are admonitions that there is something we cannot understand, something to which we are accountable. With faith we are accountable to each other, to ourselves, and to a higher truth. Religion is flawed, but only because man is flawed. The church consists of a brotherhood of imperfect, simple souls wanting only to be a voice of compassion in a world spinning out of control.","Dan Brown,","faith, god, religion, science",845
57,"There are times when solitude is better than society, and silence is wiser than speech. We should be better Christians if we were more alone, waiting upon God, and gathering through meditation on His Word spiritual strength for labour in his service. We ought to muse upon the things of God, because we thus get the real nutriment out of them. . . . Why is it that some Christians, although they hear many sermons, make but slow advances in the divine life? Because they neglect their closets, and do not thoughtfully meditate on God's Word. They love the wheat, but they do not grind it; they would have the corn, but they will not go forth into the fields to gather it; the fruit hangs upon the tree, but they will not pluck it; the water flows at their feet, but they will not stoop to drink it. From such folly deliver us, O Lord. . . .",Charles Spurgeon,"bible, christian, faith, inspirational",829
58,Some things have to be believed to be seen.,Madeleine L'Engle,"belief, faith",827
59,"Well, it's true that I have been hurt in my life. Quite a bit. But it's also true that I have loved, and been loved. and that carries a weight of its own. A greater weight, in my opinion. It's like that pie chart we talked about earlier. in the end, I'll look back on my life and see that the greatest piece of it was love. The problems, the divorces, the sadness... those will be there too, but just smaller slivers, tiny pieces.","Sarah Dessen,","being-loved, faith, love, meaningful, regret",805
60,"Faith is about doing. You are how you act, not just how you believe.","Mitch Albom,","action, belief, faith",811
61,"You picked a lemon, throw it away lemonade is overrated. Freaks should remain at the circus, not in your apartment. You already have one asshole. You don’t need another. Make a space in your life for the glorious things you deserve. Have faith.","Greg Behrendt ,","busy, call, dating, dating-advice, faith, guys, love, romance",781
62,Rejection is an opportunity for your selection.,Bernard Branson,"adult, african-american-romance, angels, baby, bible, bible-study, business, childrens, christian-living, christian-romance, college, creativity, dark-fantasy, dating, economics, education, educational, entrepreneurship, ethics, explicit, faith, family, family-relationships, fantasy-romance, friendship, fun, funny, humorous-romance, jesus, leadership, love-story, management, marriage, meditation, motivational, nonfiction, paranormal-romance, parenting, personal-transformation, relationships, religion, romantic-comedy, romantic-suspense, self-esteem, self-help, sex, sexuality, sexy, spiritual-growth, spirituality, students, success, supernatural, teen, women, young-adult, young-adult-fantasy",757
63,"The Simple Path
Silence is Prayer
Prayer is Faith
Faith is Love
Love is Service
The Fruit of Service is Peace",Mother Teresa,"faith, love, mother, path, peace, prayer, service, simple, teresa",756
64,Love meant jumping off a cliff and trusting that a certain person would be there to catch you at the bottom.,"Jodi Picoult,","faith, love, trust",754
65,"We are saved by faith alone, but the faith that saves is never alone.",Martin Luther,"christianity, faith, inspirational, religion",747
66,"No, I would not want to live in a world without dragons, as I would not want to live in a world without magic, for that is a world without mystery, and that is a world without faith.","R.A. Salvatore,","dragon, faith, magic, mystery, world",746
67,"No pain that we suffer, no trial that we experience is wasted. It ministers to our education, to the development of such qualities as patience, faith, fortitude and humility. All that we suffer and all that we endure, especially when we endure it patiently, builds up our characters, purifies our hearts, expands our souls, and makes us more tender and charitable, more worthy to be called the children of God . . . and it is through sorrow and suffering, toil and tribulation, that we gain the education that we come here to acquire and which will make us more like our Father and Mother in heaven.",Orson F. Whitney,"endurance, experience, faith, fortitude, humility, pain, patience, sorrow, suffering, trial",727
68,The most confused you will ever get is when you try to convince your heart and spirit of something your mind knows is a lie.,Shannon L. Alder,"acceptance, actions, beliefs, common-sense, confusion, disbelief, evidence, faith, family, hoping, life-purpose, love, mixed-signals, obvious, outrage, proof, reality, religion, sorrow, timing, truth, unrequited-love",724
69,"The moment God is figured out with nice neat lines and definitions, we are no longer dealing with God.","Rob Bell,","christian, faith, god, jesus, spirituality",692
70,Faith consists in believing what reason cannot.,"Voltaire,","faith, reason",679
71,"Faith is walking face-first and full-speed into the dark. If we truly knew all the answers in advance as to the meaning of life and the nature of God and the destiny of our souls, our belief would not be a leap of faith and it would not be a courageous act of humanity; it would just be... a prudent insurance policy.",Elizabeth Gilbert,faith,675
72,Faith is the bird that feels the light and sings when the dawn is still dark.,Rabindranath Tagore,"aspiration, assurance, faith, inspirational",668
73,"As a well spent day brings happy sleep, so life well used brings happy death.",Leonardo da Vinci,"faith, wisdom",663
74,Work without love is slavery.,Mother Teresa,"faith, love, work",662
75,"When you get to the end of all the light you know and it's time to step into the darkness of the unknown, faith is knowing that one of two things shall happen: either you will be given something solid to stand on, or you will be taught how to fly.",Edward Teller,"faith, light",658
76,"If we can just let go and trust that things will work out they way they're supposed to, without trying to control the outcome, then we can begin to enjoy the moment more fully. The joy of the freedom it brings becomes more pleasurable than the experience itself.",Goldie Hawn,"experience, faith, joy, release, trust",644
77,I believe in intuitions and inspirations...I sometimes FEEL that I am right. I do not KNOW that I am.,Albert Einstein,"certainty, faith, intuition",642
78,My soul is in the sky.,"William Shakespeare,","faith, literature, wisdom",610
79,"Faith is universal. Our specific methods for understanding it are arbitrary. Some of us pray to Jesus, some of us go to Mecca, some of us study subatomic particles. In the end we are all just searching for truth, that which is greater than ourselves.","Dan Brown,","faith, science",594
80,"Yes, I understand why things had to happen this way. I understand his reason for causing me pain. But mere understanding does not chase away the hurt. It does not call upon the sun when dark clouds have loomed over me. Let the rain come then if it must come! And let it wash away the dust that hurt my eyes!","Jocelyn Soriano,","breakup, broken, broken-heart, broken-hearted, broken-hearted-quotes, dating, faith, healing, heartache, heartbreak, heartbroken, hope, hurt, hurt-feelings, hurting, hurting-heart, inspirational, life, life-lessons, love, romance",586
81,"Dance. Smile. Giggle. Marvel. TRUST. HOPE. LOVE. WISH. BELIEVE. Most of all, enjoy every moment of the journey, and appreciate where you are at this moment instead of always focusing on how far you have to go.","Mandy Hale,","appreciation, attitude, believe, counting-your-blessings, dance, dancing, faith, faith-in-yourself, gratitude, happiness, happy-life, hope, journey-of-life, live-in-the-moment, living-a-happy-life, living-life-to-the-fullest, love, positive-thinking, seizing-the-day, smile, the-here-and-now, the-present, the-single-woman, trust, wish, your-journey",583
82,"You were made by God and for God and until you understand that, life will never make sense.",Rick Warren,"faith, life, religion",578
83,Faith,"Dan Brown,",faith,572
84,"Believe there is a great power silently working all things for good, behave yourself and never mind the rest.",Beatrix Potter,"christian-behavior, faith, inspirational",570
85,Persistence. Perfection. Patience. Power. Prioritize your passion. It keeps you sane.,"Criss Jami,","ambition, business, calling, career, commitment, determination, dreams, entrepreneur, faith, genius, hobbies, insanity, living, passion, patience, peace, perfection, perfectionist, perseverance, persistence, power, priorities, risk, sanity, strategy, strength, success",558
86,"About once or twice every month I engage in public debates with those whose pressing need it is to woo and to win the approval of supernatural beings. Very often, when I give my view that there is no supernatural dimension, and certainly not one that is only or especially available to the faithful, and that the natural world is wonderful enough—and even miraculous enough if you insist—I attract pitying looks and anxious questions. How, in that case, I am asked, do I find meaning and purpose in life? How does a mere and gross materialist, with no expectation of a life to come, decide what, if anything, is worth caring about?

Depending on my mood, I sometimes but not always refrain from pointing out what a breathtakingly insulting and patronizing question this is. (It is on a par with the equally subtle inquiry: Since you don't believe in our god, what stops you from stealing and lying and raping and killing to your heart's content?) Just as the answer to the latter question is: self-respect and the desire for the respect of others—while in the meantime it is precisely those who think they have divine permission who are truly capable of any atrocity—so the answer to the first question falls into two parts. A life that partakes even a little of friendship, love, irony, humor, parenthood, literature, and music, and the chance to take part in battles for the liberation of others cannot be called 'meaningless' except if the person living it is also an existentialist and elects to call it so. It could be that all existence is a pointless joke, but it is not in fact possible to live one's everyday life as if this were so. Whereas if one sought to define meaninglessness and futility, the idea that a human life should be expended in the guilty, fearful, self-obsessed propitiation of supernatural nonentities… but there, there. Enough.","Christopher Hitchens,","afterlife, atheism, debate, ethics, existence, existentialism, faith, god, life, materialism, meaning-of-life, morality, naturalism, religion, respect, secular-ethics, self-respect, supernaturalism",550
87,"To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.",St. Thomas Aquinas,"agnosticism, aquinas, atheism, faith",543
88,"You can't know, you can only believe - or not.",C.S. Lewis,"faith, knowledge",541
89,"The chief beauty about time
is that you cannot waste it in advance.
The next year, the next day, the next hour are lying ready for you,
as perfect, as unspoiled,
as if you had never wasted or misapplied
a single moment in all your life.
You can turn over a new leaf every hour
if you choose.",Arnold Bennett,"faith, hope, new-beginnings, new-day, time",515
90,"There will always be someone willing to hurt you, put you down, gossip about you, belittle your accomplishments and judge your soul. It is a fact that we all must face. However, if you realize that God is a best friend that stands beside you when others cast stones you will never be afraid, never feel worthless and never feel alone.",Shannon Alder,"blessed, blown-off, confidence, cruel-people, cruelty, faith, fear, god-s-love, gossiped-about, hang-on, hurt, ignored, insecurity, jealousy, judgement, let-go, low-self-esteem, mean-people, move-on, name-calling, rejected, rumors, self-esteem, self-worth",720
91,"There's a reason we refer to ""leaps of faith"" - because the decision to consent to any notion of divinity is a mighty jump from the rational over to the unknowable, and I don't care how diligently scholars of every religion will try to sit you down with their stacks of books and prove to you through scripture that their faith is indeed rational; it isn't. If faith were rational, it wouldn't be - by definition - faith. Faith is belief in what you cannot see or prove or touch. Faith is walking face-first and full-speed into the dark. If we truly knew all the answers in advance as to the meaning of life and the nature of God and the destiny of our souls, our belief would not be a leap of faith and it would not be a courageous act of humanity; it would just be... a prudent insurance policy.","Elizabeth Gilbert,",faith,601
92,"God turns you from one feeling to another and teaches by means of opposites so that you will have two wings to fly, not one","Rumi,","confusion, faith, inspirational, love",520
93,"there is a God, there always has been. I see him here, in the eyes of the people in this [hospital] corridor of desperation. This is the real house of God, this is where those who have lost God will find Him... there is a God, there has to be, and now I will pray, I will pray that He will forgive that I have neglected Him all of these years, forgive that I have betrayed, lied, and sinned with impunity only to turn to Him now in my hour of need. I pray that He is as merciful, benevolent, and gracious as His book says He is.",Khaled Hosseini,"faith, grace, mercy, prayer",502
94,"Prejudice, a dirty word, and faith, a clean one, have something in common: they both begin where reason ends.","Harper Lee,","faith, prejudice, reason",495
95,"No. Don't give up hope just yet. It's the last thing to go. When you have lost hope, you have lost everything. And when you think all is lost, when all is dire and bleak, there is always hope.","Pittacus Lore,","faith, hope, inspirational, never-give-up",482
96,Define yourself radically as one beloved by God. This is the true self. Every other identity is illusion.,"Brennan Manning,","beloved, faith, god, identity, love, self",480
97,"You are never dedicated to something you have complete confidence in. No one is fanatically shouting that the sun is going to rise tomorrow. They know it's going to rise tomorrow. When people are fanatically dedicated to political or religious faiths or any other kinds of dogmas or goals, it's always because these dogmas or goals are in doubt.","Robert M. Pirsig,","dedication, doubt, faith",478
98,"Someday, after mastering the winds, the waves, the tides and gravity, we shall harness for God the energies of love, and then, for a second time in the history of the world, man will have discovered fire.",Pierre Teilhard De Chardin,"faith, love, peace",469
99,I know of no society in human history that ever suffered because its people became too desirous of evidence in support of their core beliefs.,"Sam Harris,","faith, skepticism",469
100,Faith does not eliminate questions. But faith knows where to take them.,"Elisabeth Elliot,","christian-living, faith",466
101,"Sometimes when you lose your way, you find YOURSELF.","Mandy Hale,","bigger-picture, destination, destiny, faith, faith-in-yourself, find-yourself, finding-yourself, getting-lost, greater-calling, lessons, lose-your-way, losing-your-way, mistakes, positive-thinking, trusting-your-journey, wandering, wilderness, wrong-turn",461
102,"The Lord works from the inside out. The world works from the outside in. The world would take people out of the slums. Christ would take the slums out of people, and then they would take themselves out of the slums.
The world would mold men by changing their environment. Christ changes men, who then change their environment. The world would shape human behavior, but Christ can change human nature.",Ezra Taft Benson,"christ, faith, self-improvement",458
103,"Sorrow looks back, Worry looks around, Faith looks up",Ralph Waldo Emerson,"faith, inspiration, life, sorrow, wisdom, worry",452
104,We have a choice. We have two options as human beings. We have a choice between conversation and war. That's it. Conversation and violence. And faith is a conversation stopper.,Sam Harris,"agnosticism, atheism, belief, ethics, faith, humanism, religion, spirituality",445
